username,numPosts,numFollowers,numFollowing
pyrrhotech,448,24,8
greedylittlesavage,492,7,22
Zwischenzug,322,16,12
tradingshady,845,150,4
stockrocknroll,88,116,0
EWTrader33,3817,205,3
Mike_dig,1573,65,16
BearBlocker,1004,48,23
SwingTraderAmos,3001,65,59
ZTradeCZAR,1584,217,0
ViperJustin,199,21,62
Fibbonachos,597,10,4
Intellikon,1091,224,6
dismantler,4606,7408,17
chrisblackwell,7,15,2
Unsu,2124,28,48
smrttrader,538,13,65
ness1g,5,18,40
jamessung,184,6,3
NAZCORP,3180,34,15
flyingmooseman,210,11,64
Oilprice,65,74,5
Tixenalp,1134,31,21
Leonardias,524,32,29
Night_Trader,118,45,34
JM95,358,8,42
BriOnH,402,6,13
lucidi,544,26,36
theHALFMILE,791,14,11
amigobulls,7391,13015,82
dReinhart1269,1932,21,71
corymitc,492,1520,97
DaYtOnA63,1360,17,30
jlcnuke,590,58,12
TorontoTrader5,1649,33,110
daddymac,13984,111,21
ScorP,292,13,34
rlampkin,6,46,15
shibusa08,1333,49,75
Area51Ahead,564,14,60
StockFather,602,65,2
PrinceRainier,1822,127,35
stox1962,614,34,57
Factfinder,16420,273,57
Nomesrus,147,11,7
SHAWNUAE,42,23,37
Vinny10,4434,147,32
dcha,2503,70,42
4tothepowerof4,285,22,22
Allforthecorps,3071,63,68
vikktor,2341,48,29
neil3d,1189,26,54
dubaigold,418,14,4
TheRadarTrader,154,15,16
ALPHADOGSPARTAN,6283,94,36
wickedone,531,10,18
Ricer,1495,9,16
Foghornreturns,4429,193,194
DNRG,6,77,0
lv_1,68,26,25
StockCharting,409,27,6
Redfrohock,665,17,43
joshtrader,768,34,30
lalaruza74,2153,18,59
500pagesAday,1717,103,40
Joe_Martin,30,24,125
twistedvalue,70,23,14
Mick_O_Connell,522,24,37
DMaximus,108,5,12
greybear,800,9,9
Thomaspaul,2194,98,18
ezoo,365,11,7
spy13,8,41,14
Yezzurp,673,8,11
CaptainLogic,6330,46,16
Willtradeforfoods,1344,28,0
ari8000,1272,126,58
MarcianoLoews,177,14,14
p0etik,1536,5,4
Trendvestors,53,17,18
x17linux,1069,12,11
idrincwater,1071,99,2
Migcortina,99,13,62
RaffiSosikian,1683,57,11
eminisp,183,25,11
Bailonomics,1255,48,88
theturtle26,259,7,10
DrofRx,681,51,19
RedSoleTrading,485,34,17
gentletrader,6,106,22
woodie9,337,126,0
Kitsilano,2633,37,1
T1ST,9088,100,13
RobC,5227,44,52
vanhalenboss,7350,96,13
dro1,761,7,7
FuyiStocks,695,106,2
jotanoma,3218,18,8
raider1854,3913,34,15
TheDon_Draper,260,20,81
Traderunner,50,13,151
Aristotle5,10913,34,0
makescents,3866,33,17
plasticman1962,3990,67,7
Amarsh,60,8,12
mvallure,31,16,2
Newbie2,2848,81,7
FelgarTrading,8,53,0
cvds16,1504,65,6
Smaulgld,538,41,59
Seaeagle197,7214,64,51
dvhsys,1217,25,25
cruisectrl,4972,31,59
tjross,4829,31,17
avidchartist,1134,109,4
Stocktrader1234,7426,110,60
pip1,391,63,18
DAXTRADINGREVIEW,374,45,8
ZMobile,6003,27,27
OPTIONSPAIDFORMYS550,605,99,25
longrundata,309,23,55
Getmydrift,4506,17,7
herewegoagain,27302,43,19
AgentZero,2648,78,6
otterry53,1858,16,14
BaraBim,582,7,0
hayu,383,55,6
NBohrQM,3308,27,3
rennydee,5,29,50
BullByHorns,3258,28,20
Fiblicon,1560,14,9
TeREK,8605,108,147
Nodrog1,3768,43,70
DRVolatility,116,118,7
BlueLion,1733,63,4
Dagher,28,117,0
GWA,61,75,54
AndrewA,381,9,14
Rarrimalion,84,7,6
Kaskingo,1417,31,3
Panita,1104,32,25
WeeklyCharts,21,33,9
BDB_Trader,437,48,16
Snowpine,506,7,20
peanutbutterking,536,25,0
bondfxtrader,98,17,43
JTrain,299,35,2
jomamah,801,15,9
Laith_Marmarchi,638,45,2
ForexTradingTV,95,14,14
1LotTrader,283,13,22
WannaBet,558,6,16
haly,679,19,14
casper409,10,50,43
emartinez,2735,152,3
broadcast_smb,17,85,0
Daxx74,34,17,19
marketdelta,46,578,5
PredictWallStreet,818,162,100
OutOfBounds1,3171,130,150
DeltaOrderFlow,61,23,5
AdrianRaymondFX,333,58,34
jay07,942,11,95
stockgirl,149,6,0
youn,308,9,23
centralbanknews,497,310,4
T_Bigdog,808,51,10
danwtmoon,6,14,45
tr2000,213,16,67
surendar5124,425,45,6
IlliniTrader,107,11,12
AsTrading,54,24,41
jeheald,87,8,2
traderofes,168,6,1
